pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,3,3,Azeem,Siddiqui,McGovern,Simmons,Sobrinho-Wheeler,McGuirk,Hicks,Toner,Mallon,,,,,,
Azeem,3,3,Azeem,McGuirk,Siddiqui,Simmons,,,,,,,,,,,
Azeem,3,3,Azeem,McGovern,Mallon,McGuirk,Sobrinho-Wheeler,Siddiqui,Simmons,Toner,Hicks,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Siddiqui,Eckstut,,,,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Hicks,Pierre,Eckstut,,,,,
Azeem,3,3,Azeem,Nolan,Bullister,Siddiqui,Carlone,Sobrinho-Wheeler,Zondervan,Skeadas,Williams,,,,,,
Azeem,3,3,Azeem,Hicks,Mallon,Sobrinho-Wheeler,Williams,Zondervan,Levy,McGovern,McGuirk,Nolan,Pierre,Siddiqui,Bullister,Simmons,Skeadas
Azeem,3,3,Azeem,Simmons,Hicks,Siddiqui,,,,,,,,,,,
Azeem,3,3,Azeem,McGovern,Simmons,Nolan,Siddiqui,Hicks,Skeadas,Eckstut,Toner,Mallon,McGuirk,Williams,Levy,Carlone,Sobrinho-Wheeler
Azeem,3,3,Azeem,Siddiqui,Nolan,Simmons,Bullister,Skeadas,Moree,Mallon,,,,,,,
Azeem,3,3,Azeem,Zondervan,Siddiqui,Simmons,,,,,,,,,,,
Azeem,3,3,Azeem,McGovern,Siddiqui,Hicks,Mallon,Zondervan,Simmons,Sobrinho-Wheeler,Skeadas,McGuirk,,,,,
Azeem,3,3,Azeem,Mallon,Siddiqui,Nolan,,,,,,,,,,,
Azeem,3,3,Azeem,Sobrinho-Wheeler,McGovern,Siddiqui,Simmons,Toner,Carlone,,,,,,,,
Azeem,3,3,Azeem,Siddiqui,Hicks,Williams,Zondervan,Pierre,Simmons,Bullister,Skeadas,,,,,,
Azeem,3,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,3,3,Azeem,Mallon,Bullister,Siddiqui,McGovern,McGuirk,Simmons,,,,,,,,
Azeem,3,3,Azeem,Williams,Sobrinho-Wheeler,Zondervan,Siddiqui,Nolan,Carlone,,,,,,,,
Azeem,3,3,Azeem,Mallon,McGovern,Hicks,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,Levy,Moree,Nolan,Pierre,Williams,Skeadas
